"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX_6,MX_0,MX_1,MX_2,MX_3,MX_4,MX_5,MX_7,MX_8,MX_9,MX_-1,MX_/1,MX_;1,MX_<1,MX_=1,MX_>1,MX_A1,MX_B1,MX_BackSpace1,MX_C1,MX_D1,MX_DEL1,MX_E1,MX_END1,MX_ESC1,MX_F1,MX_F2,MX_F3,MX_F4,MX_F5,MX_F6,MX_F7,MX_F8,MX_F9,MX_F10,MX_F11,MX_F12,MX_F13,MX_G1,MX_H1,MX_HOME1,MX_I1,MX_J1,MX_K1,MX_L1,MX_M1,MX_N1,MX_O1,MX_P1,MX_PGDN1,MX_PGUP1,MX_Q1,MX_R1,MX_RALT1,MX_S1,MX_T1,MX_TAB1,MX_U1,MX_V1,MX_W1,MX_X1,MX_Y1,MX_Z1";"MXOnly-1U";63;"MX-1U";;;
2;"MX_SPACE1";"MXOnly-2.75U-ReversedStabilizers";1;"MX-2.75U";;;
3;"REF**,REF**,REF**,REF**";"breakaway-mousebites";4;"breakaway-mousebites";;;
4;"C1,C2,C3";"C_0805_2012Metric";3;"0.1uF";;;
5;"C4";"C_0805_2012Metric";1;"10uF";;;
6;"C5,C6";"C_0805_2012Metric";2;"22pF";;;
7;"C7";"C_0805_2012Metric";1;"1uF";;;
8;"D11,D12,D13,D14,D15,D16,D19,D21,D22,D23,D24,D25,D26,D27,D28,D29,D31,D32,D33,D34,D35,D36,D37,D38,D39,D41,D42,D43,D44,D45,D46,D47,D48,D49,D51,D52,D53,D54,D55,D56,D59,D61,D64,D66,D69,D110,D111,D112,D113,D114,D210,D211,D212,D213,D214,D310,D311,D312,D313,D314,D410,D411,D412,D413,D414,D510,D511,D512,D513,D514,D610,D611,D614";"D_SOD-123";73;"D_Small";;;
9;"F1";"Fuse_SMD1206_Reflow";1;"500mA";;;
10;"J1,J2";"JST_SH_SM15B-SRSS-TB_1x15-1MP_P1.00mm_Horizontal";2;"Conn_01x15";;;
11;"J3";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04";;;
12;"M1";"Mosfet-DMN63D8L";1;"Mosfet-DMN63D8L";;;
13;"MX_ENTER1";"MXOnly-2U-ReversedStabilizers";1;"MX-2U";;;
14;"MX_FN1,MX_LALT1,MX_RCTRL1";"MXOnly-1.5U";3;"MX-1.5U";;;
15;"MX_FN2,MX_'1,MX_LCTRL1,MX_LSHIFT1,MX_RSHIFT1";"MXOnly-1.25U";5;"MX-1.25U";;;
16;"R1,R2";"R_0805_2012Metric";2;"22";;;
17;"R3,R4";"R_0805_2012Metric";2;"10k";;;
18;"R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R26,R27,R28,R29,R31,R32,R33,R34,R35,R36,R37,R38,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R53,R54,R55,R56,R59,R61,R64,R66,R69,R110,R111,R112,R113,R114,R210,R211,R212,R213,R214,R310,R311,R312,R313,R314,R410,R411,R412,R413,R414,R510,R511,R512,R513,R514,R610,R611,R614";"R_0805_2012Metric";73;"800";;;
19;"R78";"R_0805_2012Metric";1;" 1k";;;
20;"SW1";"SKQG-1155865";1;"SW_Push";;;
21;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
23;"G***";"AceDragon";1;"LOGO";;;
24;"U2";"SOT143B";1;"PRTR5V0U2X";;;
